City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Poum,0,MK,1555722699,76,41.28,20.71,41.4,4.07
New Norfolk,0,AU,1555722675,62,-42.78,147.06,69.01,8.05
Yellowknife,90,CA,1555718400,74,62.45,-114.38,33.8,10.29
Faanui,72,PF,1555722702,73,-16.48,-151.75,85.32,9.15
Nanortalik,0,GL,1555722703,77,60.14,-45.24,29.36,11.88
Rocha,76,UY,1555722476,74,-34.48,-54.34,66.39,4.45
Hailey,5,US,1555722027,34,43.52,-114.32,66.2,9.17
Gat,2,SN,1555720200,77,14.69,-16.54,68.0,19.46
Hastings,0,NZ,1555722708,49,-39.64,176.84,68.01,2.04
Hithadhoo,85,MV,1555722709,75,-0.6,73.08,84.85,18.72
Tiksi,24,RU,1555722710,72,71.64,128.87,15.14,7.58
Isangel,75,VU,1555718400,70,-19.55,169.27,84.2,17.22
Rio Gallegos,0,AR,1555718400,61,-51.62,-69.22,50.0,19.46
Yankton,1,US,1555718160,31,42.87,-97.4,64.4,6.93
Burnie,69,AU,1555722543,80,-41.05,145.91,66.0,1.01
Port Macquarie,40,AU,1555722305,78,-31.43,152.91,73.99,2.26
San Cristobal,90,EC,1555722024,93,-0.39,-78.55,57.2,3.36
Bubaque,0,GW,1555722719,73,11.28,-15.83,78.63,13.38
Belmonte,81,PT,1555722064,72,40.36,-7.35,57.0,1.99
Parana,40,BR,1555718400,94,-7.52,-72.89,77.0,3.36
Constitucion,20,MX,1555722616,5,23.99,-104.67,78.8,11.41
Lagoa,0,PT,1555722145,82,37.14,-8.45,55.99,12.46
Huanuco,75,PE,1555722725,98,-9.93,-76.24,43.94,3.94
Saint-Pierre,0,FR,1555722070,71,48.95,4.24,57.2,8.05
Mar del Plata,96,AR,1555722728,52,-46.43,-67.52,56.41,8.28
Eufaula,40,US,1555722526,66,31.89,-85.15,57.2,8.05
Russell,0,AR,1555718400,64,-33.01,-68.8,69.8,3.36
Avarua,85,CK,1555720200,57,-21.21,-159.78,78.8,9.17
Sao Filipe,9,CV,1555722733,85,14.9,-24.5,71.5,20.02
Ancud,90,CL,1555718400,87,-41.87,-73.83,50.0,4.7
Lake Havasu City,1,US,1555722372,9,34.47,-114.34,96.8,6.93
Pangnirtung,96,CA,1555722736,97,66.15,-65.72,16.54,2.01
Chuy,59,UY,1555722737,73,-33.69,-53.46,70.96,10.29
Berlevag,80,NO,1555722738,86,70.86,29.09,41.8,21.74
Dwarka,0,IN,1555720200,64,28.58,77.04,69.8,4.7
Abaza,100,RU,1555722741,75,52.65,90.1,24.0,3.24
Beira,1,ES,1555722686,62,43.2,-8.36,64.0,1.12
Nevelsk,40,RU,1555720200,48,46.67,141.86,44.6,8.95
Port Elizabeth,90,US,1555722738,83,39.31,-74.98,70.0,18.34
Labuhan,97,ID,1555722745,83,-2.54,115.51,79.94,1.03
Avera,1,US,1555722721,63,33.19,-82.53,64.4,12.75
Marfino,52,RU,1555722385,74,56.07,37.56,42.01,2.24
Ahome,90,MX,1555722256,25,25.92,-109.18,87.8,9.17
Laguna,75,MX,1555717320,14,27.52,-110.01,93.2,9.17
Anaco,95,VE,1555722751,49,9.43,-64.46,86.15,9.93
Manakara,82,MG,1555722752,95,-22.14,48.01,73.5,6.17
Victor Harbor,0,AU,1555722680,17,-35.55,138.62,87.01,20.8
Harper,1,US,1555722630,37,30.3,-99.24,72.0,5.82
Waingapu,13,ID,1555722756,79,-9.65,120.26,79.27,11.81
Mount Isa,0,AU,1555720200,30,-20.73,139.49,84.2,16.11
Pevek,100,RU,1555722758,90,69.7,170.27,7.99,12.66
Bhuj,0,IN,1555722759,46,23.25,69.67,78.91,7.07
Lorengau,47,PG,1555722760,65,-2.02,147.27,85.99,1.72
Belen,40,TR,1555722572,81,36.49,36.19,54.0,9.17
Derzhavinsk,100,KZ,1555722763,69,51.1,66.31,29.0,10.63
Komsomolskiy,96,RU,1555722764,96,67.55,63.78,10.24,4.76
Emure,88,NG,1555722765,93,7.44,5.46,74.68,4.14
Ouahigouya,67,BF,1555722767,20,13.58,-2.42,96.9,4.25
Severo-Kurilsk,0,RU,1555722768,85,50.68,156.12,34.69,20.07
Am Timan,98,TD,1555722769,16,11.04,20.28,91.78,3.91
Villeneuve-sur-Lot,0,FR,1555722659,75,44.41,0.7,55.0,1.12
Bakchar,78,RU,1555722771,81,57.02,82.07,25.02,5.68
Cherskiy,6,RU,1555722773,86,68.75,161.3,5.02,5.08
Fare,97,PF,1555722774,74,-16.7,-151.02,83.27,6.78
Mirnyy,95,RU,1555722775,65,56.57,36.46,39.44,5.75
Carnarvon,98,ZA,1555722776,30,-30.97,22.13,57.19,8.23
Ribeira Grande,5,PT,1555722777,92,38.52,-28.7,62.05,13.71
Tinskoy,0,RU,1555722778,55,56.15,96.92,26.21,6.17
Novyye Gorki,49,RU,1555722780,70,56.73,41.06,36.54,3.91
Kidal,0,ML,1555722781,7,18.44,1.41,87.46,9.24
Sohag,0,EG,1555718400,37,26.55,31.7,66.2,6.93
Agapovka,31,RU,1555720200,53,53.3,59.13,24.8,6.71
Beloha,73,MG,1555722785,81,-25.17,45.06,70.0,12.53
Cabo San Lucas,20,MX,1555722137,20,22.89,-109.91,88.0,12.75
Melchor de Mencos,0,GT,1555722042,65,17.06,-89.15,78.8,20.8
Raudeberg,3,NO,1555722604,66,61.99,5.14,48.99,11.41
Vardo,90,US,1555722784,88,39.62,-77.74,69.01,11.88
Buin,0,CL,1555718400,82,-33.73,-70.74,55.4,10.29
Yichang,92,CN,1555722791,81,30.77,111.32,62.59,2.39
La Ronge,75,CA,1555718400,35,55.1,-105.3,55.4,6.93
Humaita,40,AR,1555718400,83,-24.93,-65.37,71.6,5.82
Juneau,75,US,1555722112,65,58.3,-134.42,44.6,11.41
Amot,41,NO,1555722004,75,59.57,7.99,39.0,3.24
Yarada,40,IN,1555720200,88,17.65,83.27,78.8,2.24
Naze,100,NG,1555722798,83,5.43,7.07,79.36,5.66
Vestmannaeyjar,96,IS,1555722800,80,63.44,-20.27,45.49,26.4
Santa Rosa,2,AR,1555722613,19,-36.62,-64.29,64.53,9.33
Nyurba,100,RU,1555722805,89,63.29,118.35,24.86,7.9
Shingu,20,JP,1555718400,51,33.72,135.99,62.6,8.05
Ayan,83,TR,1555722807,90,40.67,33.6,24.36,5.77
Santa Cruz,1,US,1555722525,59,36.97,-122.03,75.2,11.41
Ostrovnoy,22,RU,1555722810,92,68.05,39.51,28.84,7.43
Hinton,99,CA,1555722811,65,53.4,-117.57,39.42,8.95
Longyearbyen,75,NO,1555721400,94,78.22,15.63,32.0,13.87
Comodoro Rivadavia,0,AR,1555718400,58,-45.87,-67.48,53.6,2.24
Bria,100,CF,1555722815,69,6.54,21.99,74.56,3.31
Almaznyy,0,RU,1555720200,51,48.03,40.04,37.4,13.42
Lasa,40,CY,1555722002,72,34.92,32.53,59.0,3.36
Karasjok,99,NO,1555719600,80,69.47,25.52,41.0,23.04
Clyde River,90,CA,1555718400,77,70.47,-68.59,-2.21,4.7
Nikolskoye,0,RU,1555722643,52,59.7,30.79,44.6,6.71
Coquimbo,90,CL,1555718400,72,-29.95,-71.34,59.0,6.93
Ucluelet,20,CA,1555722460,71,48.94,-125.55,57.0,5.82
Mogadishu,61,SO,1555722824,77,2.04,45.34,81.6,5.95
Benguela,72,AO,1555722825,78,-12.58,13.4,80.59,10.09
Provideniya,29,RU,1555722827,50,64.42,-173.23,15.14,3.62
Noshiro,75,JP,1555718400,61,40.21,140.05,50.0,13.87
Keita,20,NG,1555718400,88,7.1,3.65,82.4,3.89
Buraydah,0,SA,1555718400,40,26.33,43.97,68.0,10.29
Brooks,79,CA,1555721192,46,50.57,-111.89,52.0,5.01
Arraial do Cabo,1,BR,1555722832,81,-22.97,-42.02,76.57,4.27
Coihaique,0,CL,1555718400,81,-45.58,-72.07,46.4,3.36
Okato,97,NZ,1555722341,66,-39.19,173.88,64.0,5.99
Misratah,26,LY,1555722836,77,32.38,15.09,61.44,20.29
Bemidji,1,US,1555722738,43,47.48,-94.89,55.99,5.82
Luderitz,14,NA,1555718400,82,-26.65,15.16,55.4,2.24
Cayenne,50,GF,1555720200,78,4.94,-52.33,82.4,11.41
Rawson,0,AR,1555722841,49,-43.3,-65.11,57.48,8.95
Santa Rosalia,0,IT,1555722810,76,38.07,13.27,62.01,4.7
Waipawa,0,NZ,1555721717,58,-39.94,176.59,66.0,5.01
Kapit,95,MY,1555722845,88,2.02,112.94,75.94,1.43
Fortuna,90,ES,1555722836,93,38.18,-1.13,59.0,23.04
Chokurdakh,18,RU,1555722847,85,70.62,147.9,8.01,6.24
Neftcala,100,AZ,1555722849,77,39.37,49.25,44.12,17.69
Namatanai,100,PG,1555722850,83,-3.66,152.44,80.68,3.71
Mattru,100,SL,1555722851,81,7.62,-11.83,81.22,2.75
Sieradz,0,PL,1555722614,66,51.6,18.74,46.0,2.24
Klyuchi,70,RU,1555722853,61,52.25,79.17,29.7,8.59
Flinders,1,AU,1555722851,73,-34.58,150.85,75.99,3.36
Pouembout,23,NC,1555722856,72,-21.12,164.9,81.92,14.25
Illescas,0,ES,1555722857,76,40.12,-3.85,53.01,4.7
Saint George,20,GR,1555722799,87,39.45,22.34,54.0,4.7
Suruc,0,TR,1555719600,87,36.98,38.42,43.0,3.36
Uribia,99,CO,1555722860,58,11.71,-72.27,83.97,13.51
Qaqortoq,0,GL,1555722862,40,60.72,-46.03,29.14,11.34
Salalah,75,OM,1555717800,78,17.01,54.1,80.6,4.7
Acapulco,5,MX,1555717680,83,16.86,-99.88,78.8,9.17
Jiayuguan,23,CN,1555722865,36,39.77,98.29,53.23,2.44
Haines Junction,93,CA,1555722866,29,60.75,-137.51,32.89,9.24
Tuktoyaktuk,90,CA,1555718400,72,69.44,-133.03,17.6,17.22
Eureka,90,US,1555722600,93,40.8,-124.16,57.99,12.75
Tiarei,75,PF,1555722782,74,-17.53,-149.33,86.0,9.17
Sucre,40,BO,1555718400,63,-19.05,-65.26,62.6,13.87
Litovko,0,RU,1555722872,52,49.24,135.18,42.21,2.71
Araouane,0,ML,1555722873,13,18.9,-3.53,86.33,9.01
Guapiacu,0,BR,1555718400,64,-20.8,-49.22,73.4,2.77
Zonguldak,96,TR,1555722617,62,41.25,31.83,47.18,9.64
Esperance,20,TT,1555722608,78,10.24,-61.45,80.6,3.36
Tura,52,IN,1555722878,61,25.52,90.21,75.44,4.9
Sundarnagar,0,IN,1555722879,52,31.53,76.88,64.15,4.47
Atambua,3,ID,1555722690,69,-9.11,124.89,83.14,10.33
Port Said,0,EG,1555722882,30,25.34,30.55,70.69,10.22
Marsh Harbour,42,BS,1555722883,82,26.54,-77.06,77.53,20.96
Ornskoldsvik,75,SE,1555719600,56,63.29,18.72,44.6,8.05
Katsuura,38,JP,1555722489,50,33.93,134.5,57.2,9.17
Elk City,1,US,1555722630,34,35.41,-99.4,69.8,5.82
Prince Rupert,20,CA,1555718400,65,54.32,-130.32,46.4,9.17
Saskylakh,3,RU,1555722889,89,71.97,114.09,-0.27,2.26
Ullapool,98,GB,1555722622,70,57.9,-5.16,57.0,1.99
Salym,100,RU,1555722891,96,60.06,71.48,30.69,6.02
Saint Anthony,1,US,1555722800,28,43.97,-111.68,71.6,9.17
Yeppoon,90,AU,1555720200,58,-23.13,150.74,82.4,12.75
Kiri Buru,33,IN,1555722894,63,22.08,85.35,74.25,2.77
Hofn,100,IS,1555722895,98,64.25,-15.21,34.18,18.43
Malindi,20,KE,1555722835,87,-3.22,40.12,79.45,6.46
Port Lincoln,76,AU,1555722898,47,-34.72,135.86,74.2,22.01
Camocim,98,BR,1555722732,94,-2.9,-40.84,76.72,4.61
Narsaq,0,GL,1555722900,40,60.91,-46.05,29.14,11.34
Boa Vista,20,BR,1555722000,46,2.82,-60.67,89.6,9.17
Gushikawa,75,JP,1555722786,78,26.35,127.87,73.4,10.29
Talnakh,20,RU,1555720200,76,69.49,88.39,-11.21,15.66
Husavik,90,CA,1555722606,44,50.56,-96.99,62.01,15.01
Khash,0,IR,1555722668,37,28.22,61.21,59.69,4.56
Emilio Carranza,0,MX,1555722908,28,19.97,-96.61,79.78,4.14
Geraldton,20,CA,1555718400,26,49.72,-86.95,55.4,4.7
Kivertsi,0,UA,1555722638,77,50.83,25.46,35.01,0.56
Lompoc,40,US,1555722837,87,34.64,-120.46,64.99,8.05
Boddam,100,GB,1555722844,71,57.47,-1.78,51.8,9.17
Pisco,0,PE,1555722051,73,-13.71,-76.2,73.4,5.82
Christchurch,88,NZ,1555722784,63,-43.53,172.64,71.01,2.24
Port Blair,22,IN,1555722916,68,11.67,92.75,85.18,7.18
San Quintin,14,PH,1555722917,59,17.54,120.52,85.86,1.68
Makakilo City,1,US,1555722899,45,21.35,-158.09,86.0,8.05
Havelock,75,US,1555722836,100,34.88,-76.9,69.01,9.17
Zatoka,0,PL,1555722919,65,50.04,20.52,52.0,1.12
Pochinok,51,RU,1555722922,66,54.4,32.44,41.22,5.48
Shimoda,75,JP,1555722034,59,34.7,138.93,64.4,8.05
Mecca,18,SA,1555722687,55,21.43,39.83,71.79,10.0
Lafiagi,100,NG,1555722926,58,8.85,5.42,88.47,9.95
Klaksvik,88,FO,1555721400,93,62.23,-6.59,48.2,11.41
Soyo,100,AO,1555722928,86,-6.13,12.37,82.77,8.59
Bereda,14,ES,1555722922,62,43.27,-7.54,57.2,1.12
San Pedro de Macoris,20,DO,1555722810,69,18.46,-69.3,79.0,11.41
Pochutla,75,MX,1555721245,69,15.74,-96.47,84.0,6.93
Saquena,100,PE,1555722933,93,-4.67,-73.52,76.65,1.74
North Myrtle Beach,40,US,1555722925,100,33.83,-78.68,69.01,16.11
Houston,1,US,1555722824,22,29.76,-95.37,69.01,11.41
Ringkobing,0,DK,1555719600,64,56.09,8.24,41.0,4.97
Mount Gambier,98,AU,1555718400,33,-37.83,140.78,73.4,16.11
Moundou,100,TD,1555722939,53,8.57,16.07,84.4,10.09
Rio Grande,42,BR,1555722940,92,-32.03,-52.1,64.33,3.04
Mnogovershinnyy,98,RU,1555722941,99,53.94,139.92,31.3,0.58
Merzifon,75,TR,1555719600,85,40.87,35.46,37.4,1.12
Xiongzhou,90,CN,1555722934,88,32.34,118.83,71.01,8.95
Veraval,0,FR,1555722937,71,49.65,0.71,57.0,10.29
Neiafu,40,TO,1555718400,65,-18.65,-173.98,82.4,14.99
Sovetskiy,98,RU,1555722947,80,56.76,48.47,36.52,1.5
Pa Sang,20,TH,1555722908,54,18.53,98.94,87.01,3.74
Tenenkou,0,ML,1555722949,11,14.46,-4.91,92.14,5.84
Aksarka,15,RU,1555722950,89,66.56,67.8,4.07,0.89
Caravelas,0,BR,1555722949,82,-17.73,-39.27,78.79,3.89
Orebro,79,SE,1555722910,52,59.27,15.21,39.2,1.12
Yalova,75,TR,1555722058,81,40.66,29.27,46.0,7.94
Mahon,75,IE,1555722936,71,51.89,-8.4,51.8,5.82
Torbay,90,CA,1555722452,90,47.66,-52.73,37.0,27.51
Adre,73,TD,1555722957,10,13.47,22.2,83.7,19.1
Rudnyy,0,KZ,1555720200,79,52.96,63.12,19.4,2.24
San Policarpo,9,PH,1555722960,73,12.18,125.51,82.66,6.31
Tasiilaq,98,GL,1555722961,76,65.61,-37.64,32.11,2.68
Camopi,99,GF,1555722962,99,3.17,-52.33,73.53,2.48
Totskoye,0,RU,1555722963,55,52.53,52.75,33.12,4.36
San Patricio,30,PY,1555722965,69,-26.98,-56.83,77.35,2.64
Puerto Escondido,75,MX,1555717440,69,15.86,-97.07,80.6,6.93
Nacala,71,MZ,1555722967,97,-14.56,40.69,72.88,7.38
Miura,75,JP,1555722904,58,35.17,139.64,62.01,9.17
Vostok,0,RU,1555722970,39,46.45,135.83,41.02,3.18
Iqaluit,90,CA,1555722762,92,63.75,-68.52,26.6,11.41
Soderhamn,0,SE,1555722972,66,61.3,17.06,46.6,3.71
Dunedin,72,NZ,1555722361,80,-45.87,170.5,57.0,4.0
Las Vegas,1,US,1555722667,7,36.17,-115.15,87.8,16.11
Lodja,95,CD,1555722975,73,-3.52,23.6,75.06,2.13
Kibre Mengist,86,ET,1555722976,98,5.87,38.99,55.08,2.75
Zhigansk,75,RU,1555722978,74,66.77,123.37,19.84,8.12
Storslett,100,NO,1555722979,86,69.77,21.03,42.91,7.27
Kahului,90,US,1555722910,69,20.89,-156.47,84.2,11.41
Galbshtadt,100,RU,1555722981,55,53.23,78.98,31.39,7.2
Innisfail,90,CA,1555722615,93,52.02,-113.95,37.99,9.17
Connersville,90,US,1555722980,100,39.64,-85.14,46.4,20.8
Bolshaya Rechka,0,RU,1555722000,50,51.95,104.74,30.2,4.47
Bonga,57,ET,1555722986,86,7.26,36.25,59.38,2.64
Cap Malheureux,40,MU,1555722841,83,-19.98,57.61,78.8,12.75
Evensk,88,RU,1555722988,82,61.92,159.24,32.64,8.97
Blois,0,FR,1555722911,100,47.59,1.33,57.2,6.13
Ilulissat,0,GL,1555722991,68,69.22,-51.1,17.25,4.79
Saint-Augustin,0,FR,1555722949,66,44.83,-0.61,55.4,2.24
Pacific Grove,20,US,1555722993,67,36.62,-121.92,72.0,16.11
Tres Passos,33,BR,1555722995,64,-27.46,-53.93,71.57,4.12
Tautira,75,PF,1555722782,74,-17.73,-149.15,86.0,9.17
Rome,0,IT,1555722908,50,41.89,12.48,55.4,4.7
Ajaccio,0,FR,1555722000,70,41.93,8.74,55.4,5.82
Suntar,100,RU,1555722999,85,62.16,117.65,27.07,6.89
Gumdag,34,TM,1555723001,62,39.2,54.59,48.62,10.96
Corinth,75,GR,1555722958,87,37.94,22.93,55.99,8.05
Gornopravdinsk,99,RU,1555723003,96,60.06,69.92,29.97,5.84
Ananindeua,75,BR,1555722000,94,-1.37,-48.4,75.2,13.87
Jaynagar-Majilpur,75,IN,1555720200,65,22.18,88.42,77.0,6.93
Kaeo,88,NZ,1555722485,75,-35.1,173.78,66.0,5.99
Warwick,90,US,1555723006,100,41.7,-71.42,66.0,8.05
Srednekolymsk,97,RU,1555723009,82,67.46,153.71,16.81,13.13
Carballo,0,ES,1555722986,62,43.21,-8.69,64.0,1.12
Yar-Sale,78,RU,1555723012,94,66.83,70.83,9.88,10.6
Isparta,0,TR,1555721400,69,37.77,30.56,34.0,11.41
Maceio,40,BR,1555722000,94,-9.67,-35.74,77.0,3.36
Porto Velho,20,BR,1555722000,83,-8.75,-63.87,78.8,2.04
Necochea,0,AR,1555720309,74,-38.55,-58.74,59.0,1.83
Chapais,75,CA,1555718400,60,49.78,-74.86,39.2,3.36
Naryan-Mar,97,RU,1555723019,95,67.67,53.09,31.83,11.18
Pailon,75,BO,1555718400,88,-17.66,-62.72,78.8,9.17
Zhaozhou,100,CN,1555723021,14,45.71,125.27,56.67,21.23
Carutapera,100,BR,1555722930,92,-1.2,-46.02,78.18,6.33
Ratnagiri,6,IN,1555723023,73,16.98,73.3,82.55,13.85
Aklavik,90,CA,1555718400,67,68.22,-135.01,23.0,4.7
Kuala Terengganu,75,MY,1555718400,94,5.33,103.14,78.8,4.7
Belyy Yar,0,RU,1555720200,73,53.6,91.39,24.8,1.72
Zarubino,50,RU,1555723028,22,42.65,131.06,49.27,4.83
Baykit,3,RU,1555723029,89,61.68,96.39,8.26,7.05
Tilichiki,43,RU,1555723030,67,60.47,166.1,38.0,8.41
Blagoyevo,100,RU,1555723031,93,63.37,47.92,31.75,2.21
Hami,0,CN,1555723033,25,42.84,93.51,63.97,10.56
Kulhudhuffushi,100,MV,1555723034,73,6.62,73.07,85.39,9.66
Chenzhou,47,CN,1555723035,74,25.81,113.03,77.67,1.66
Lincoln,19,GB,1555722921,93,53.23,-0.54,46.99,3.36
Nizhniy Odes,85,RU,1555723037,98,63.64,54.86,30.55,4.07
Banff,99,CA,1555722242,92,51.18,-115.57,34.0,1.01
Krasnoborsk,100,RU,1555723040,94,61.56,45.93,34.02,4.09
Bourail,46,NC,1555723041,67,-21.57,165.5,79.49,11.45
Abasha,90,GE,1555720200,100,42.2,42.2,46.4,2.24
Sobolevo,64,RU,1555723043,64,54.43,31.9,41.96,5.19
Nemuro,20,JP,1555718400,33,43.32,145.57,46.4,2.24
Nouadhibou,0,MR,1555723046,84,20.93,-17.03,64.42,25.19
Dali,0,CN,1555723047,67,25.6,100.24,52.08,3.38
Vila Franca do Campo,40,PT,1555720200,88,37.72,-25.43,62.6,3.36
Vila Velha,0,BR,1555722502,88,-3.71,-38.6,81.0,4.7
Harlingen,1,US,1555723003,49,26.19,-97.7,84.2,9.17
Kavaratti,91,IN,1555723052,67,10.57,72.64,84.58,10.71
Corvallis,90,US,1555722781,93,44.56,-123.26,60.01,12.75
Nelson Bay,40,AU,1555723046,83,-32.72,152.14,80.01,8.05
Irun,0,FR,1555723028,82,43.34,-1.79,57.2,1.12
Nakhon Thai,13,TH,1555718400,74,17.1,100.84,82.4,0.63
Abu Kamal,78,SY,1555723058,56,34.45,40.92,56.41,10.89
Gazanjyk,37,TM,1555723059,52,39.24,55.52,52.6,11.81
Alofi,75,NU,1555718400,65,-19.06,-169.92,80.6,20.8
Shyroke,76,UA,1555723061,45,47.96,38.23,40.0,8.99
Camacha,75,PT,1555720200,72,33.08,-16.33,60.8,17.22
